字段1,字段2,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11
M25****9378,5分 超棒,还可以，不错,2022-06-18IP属地：未知,IP属地：未知,"
点赞",,2022-06-18IP属地：未知,IP属地：未知,"
点赞",
Audrey-0405,5分 超棒,还会再去的。,2022-06-18IP属地：未知,IP属地：未知,"
点赞",,2022-06-18IP属地：未知,IP属地：未知,"
点赞",
234****836,5分 超棒,小朋友很喜欢,2022-06-12IP属地：未知,IP属地：未知,"
点赞",,2022-06-12IP属地：未知,IP属地：未知,"
点赞",
M93****00,5分 超棒,孩子很喜欢！,2022-06-07IP属地：未知,IP属地：未知,"
点赞",,2022-06-07IP属地：未知,IP属地：未知,"
点赞",
M93****00,5分 超棒,孩子很喜欢！,2022-06-07IP属地：未知,IP属地：未知,"
点赞",,2022-06-07IP属地：未知,IP属地：未知,"
点赞",
M20****694,5分 超棒,很喜欢哦～ 只是人有点多，早一些出发。运气好的话，能看到小熊猫，是红色那种，不是刚出生的大熊猫，特别可爱，收获很多哦，排队时间不太长。,2022-05-16IP属地：未知,IP属地：未知,"
点赞",,2022-05-16IP属地：未知,IP属地：未知,"
点赞",
公主港赵武灵王,5分 超棒,景色很美，趣味十足，大熊猫可爱，性价比很高，值得一去,2022-05-15IP属地：未知,IP属地：未知,"
点赞",,2022-05-15IP属地：未知,IP属地：未知,"
点赞",
ellenxm,5分 超棒,孩子非常喜欢，小熊猫真是可爱，就是产房暑假排队时间长,2022-05-11IP属地：未知,IP属地：未知,"
点赞",,2022-05-11IP属地：未知,IP属地：未知,"
点赞",
Frank8899,5分 超棒,不错不错不错不错不错不错不错不错不错不错不错不错不错,2022-03-15IP属地：未知,IP属地：未知,"
点赞",,2022-03-15IP属地：未知,IP属地：未知,"
点赞",
M48****2699,5分 超棒,熊猫很可爱,2022-07-27IP属地：新疆,IP属地：新疆,"
点赞",,2022-07-27IP属地：新疆,IP属地：新疆,"
点赞",
M41****947,5分 超棒,熊猫很可爱,2022-07-27IP属地：广东,IP属地：广东,"
点赞",,2022-07-27IP属地：广东,IP属地：广东,"
点赞",
尕铉铉,5分 超棒,还不错哦哦,2022-07-26IP属地：贵州,IP属地：贵州,"
点赞",,2022-07-26IP属地：贵州,IP属地：贵州,"
点赞",
尕铉铉,5分 超棒,还不错哦哦,2022-07-26IP属地：贵州,IP属地：贵州,"
点赞",,2022-07-26IP属地：贵州,IP属地：贵州,"
点赞",
尕铉铉,5分 超棒,还不错哦哦,2022-07-26IP属地：贵州,IP属地：贵州,"
点赞",,2022-07-26IP属地：贵州,IP属地：贵州,"
点赞",
M59****114,5分 超棒,风景很好呢,2022-07-25IP属地：未知,IP属地：未知,"
点赞",,2022-07-25IP属地：未知,IP属地：未知,"
点赞",
M59****114,5分 超棒,风景很好呢,2022-07-25IP属地：未知,IP属地：未知,"
点赞",,2022-07-25IP属地：未知,IP属地：未知,"
点赞",
吮拇指的汉子,5分 超棒,亲子游首选,2022-07-24IP属地：未知,IP属地：未知,"
点赞",,2022-07-24IP属地：未知,IP属地：未知,"
点赞",
M23****6345,5分 超棒,还还不错的,2022-07-21IP属地：未知,IP属地：未知,"
点赞",,2022-07-21IP属地：未知,IP属地：未知,"
点赞",
qiuqiu麻麻,5分 超棒,好好看看这,2022-07-20IP属地：未知,IP属地：未知,"
点赞",,2022-07-20IP属地：未知,IP属地：未知,"
点赞",
qiuqiu麻麻,5分 超棒,好好看看这,2022-07-20IP属地：未知,IP属地：未知,"
点赞",,2022-07-20IP属地：未知,IP属地：未知,"
点赞",
M39****1064,5分 超棒,熊猫好可爱,2022-07-20IP属地：未知,IP属地：未知,"
点赞",,2022-07-20IP属地：未知,IP属地：未知,"
点赞",
matt,5分 超棒,***,2022-07-19IP属地：未知,IP属地：未知,"
点赞",,2022-07-19IP属地：未知,IP属地：未知,"
点赞",
浪浪,5分 超棒,挺好玩的鸭,2022-07-19IP属地：未知,IP属地：未知,"
点赞",,2022-07-19IP属地：未知,IP属地：未知,"
点赞",
IsaacWang,5分 超棒,玩的很开心,2022-07-18IP属地：未知,IP属地：未知,"
点赞",,2022-07-18IP属地：未知,IP属地：未知,"
点赞",
_WeCh****701898,5分 超棒,值得一来！,2022-07-17IP属地：未知,IP属地：未知,"
点赞",,2022-07-17IP属地：未知,IP属地：未知,"
点赞",
110****536,5分 超棒,好好好搞好,2022-07-17IP属地：未知,IP属地：未知,"
点赞",,2022-07-17IP属地：未知,IP属地：未知,"
点赞",
M23****3622,5分 超棒,熊猫很可爱,2022-07-16IP属地：未知,IP属地：未知,"
点赞",,2022-07-16IP属地：未知,IP属地：未知,"
点赞",
M50****4344,5分 超棒,非常非常好,2022-07-12IP属地：未知,IP属地：未知,"
点赞",,2022-07-12IP属地：未知,IP属地：未知,"
点赞",
SWannn,5分 超棒,熊猫好可爱,2022-07-12IP属地：未知,IP属地：未知,"
点赞",,2022-07-12IP属地：未知,IP属地：未知,"
点赞",
斯托克顿袁术,5分 超棒,方便快捷。,2022-07-11IP属地：未知,IP属地：未知,"
点赞",,2022-07-11IP属地：未知,IP属地：未知,"
点赞",
138****1719,5分 超棒,没找到导游,2022-07-11IP属地：未知,IP属地：未知,"
点赞",,2022-07-11IP属地：未知,IP属地：未知,"
点赞",
M27****6050,5分 超棒,孩子很开心,2022-07-10IP属地：未知,IP属地：未知,"
点赞",,2022-07-10IP属地：未知,IP属地：未知,"
点赞",
M27****6050,5分 超棒,家人很开心,2022-07-10IP属地：未知,IP属地：未知,"
点赞",,2022-07-10IP属地：未知,IP属地：未知,"
点赞",
M25****7102,5分 超棒,哈哈哈哈哈,2022-07-09IP属地：未知,IP属地：未知,"
点赞",,2022-07-09IP属地：未知,IP属地：未知,"
点赞",
_WB6****876,5分 超棒,喜欢可爱！,2022-07-08IP属地：未知,IP属地：未知,"
点赞",,2022-07-08IP属地：未知,IP属地：未知,"
点赞",
M30****8469,5分 超棒,hhhhh,2022-07-07IP属地：未知,IP属地：未知,"
点赞",,2022-07-07IP属地：未知,IP属地：未知,"
点赞",
小艺Gemini,5分 超棒,熊猫超可爱,2022-07-07IP属地：未知,IP属地：未知,"
点赞",,2022-07-07IP属地：未知,IP属地：未知,"
点赞",
m81****79,5分 超棒,不错的地方,2022-07-06IP属地：未知,IP属地：未知,"
点赞",,2022-07-06IP属地：未知,IP属地：未知,"
点赞",
M30****7078,5分 超棒,熊猫狠可爱,2022-07-06IP属地：未知,IP属地：未知,"
点赞",,2022-07-06IP属地：未知,IP属地：未知,"
点赞",
北顾～,5分 超棒,熊猫超可爱,2022-07-04IP属地：未知,IP属地：未知,"
点赞",,2022-07-04IP属地：未知,IP属地：未知,"
点赞",
M34****1854,5分 超棒,熊猫很可爱,2022-07-03IP属地：未知,IP属地：未知,"
点赞",,2022-07-03IP属地：未知,IP属地：未知,"
点赞",
_WeCh****469833,5分 超棒,特此推荐！,2022-07-03IP属地：未知,IP属地：未知,"
点赞",,2022-07-03IP属地：未知,IP属地：未知,"
点赞",
M38****6226,5分 超棒,滚滚很可爱,2022-07-02IP属地：未知,IP属地：未知,"
点赞",,2022-07-02IP属地：未知,IP属地：未知,"
点赞",
奥斯卡陆,5分 超棒,不错的行程,2022-06-30IP属地：未知,IP属地：未知,"
点赞",,2022-06-30IP属地：未知,IP属地：未知,"
点赞",
清酒ing,5分 超棒,还是不错的,2022-06-29IP属地：未知,IP属地：未知,"
点赞",,2022-06-29IP属地：未知,IP属地：未知,"
点赞",
M43****8503,5分 超棒,环境非常好,2022-06-27IP属地：未知,IP属地：未知,"
点赞",,2022-06-27IP属地：未知,IP属地：未知,"
点赞",
开心有礼,5分 超棒,确实很好耍,2022-06-26IP属地：未知,IP属地：未知,"
点赞",,2022-06-26IP属地：未知,IP属地：未知,"
点赞",
M53****785,5分 超棒,建议早点去,2022-06-26IP属地：未知,IP属地：未知,"
点赞",,2022-06-26IP属地：未知,IP属地：未知,"
点赞",
小艺Gemini,5分 超棒,熊猫超可爱,2022-06-22IP属地：未知,IP属地：未知,"
点赞",,2022-06-22IP属地：未知,IP属地：未知,"
点赞",
爱过即是缘,5分 超棒,挺有意思的,2022-06-22IP属地：未知,IP属地：未知,"
点赞",,2022-06-22IP属地：未知,IP属地：未知,"
点赞",
badwings,5分 超棒,真的很不错,2022-06-21IP属地：未知,IP属地：未知,"
点赞",,2022-06-21IP属地：未知,IP属地：未知,"
点赞",
137****1427,5分 超棒,非常不错。,2022-06-21IP属地：未知,IP属地：未知,"
点赞",,2022-06-21IP属地：未知,IP属地：未知,"
点赞",
噗噗呐,5分 超棒,很好很好的,2022-06-17IP属地：未知,IP属地：未知,"
点赞",,2022-06-17IP属地：未知,IP属地：未知,"
点赞",
206****625,5分 超棒,棒！可爱！,2022-06-14IP属地：未知,IP属地：未知,"
点赞",,2022-06-14IP属地：未知,IP属地：未知,"
点赞",
M13****257,5分 超棒,整体还不错,2022-06-06IP属地：未知,IP属地：未知,"
点赞",,2022-06-06IP属地：未知,IP属地：未知,"
点赞",
لي بنغ,5分 超棒,不错，可以一次性看过很多各种品种大熊猫，赞👍🏻,2022-05-30IP属地：未知,IP属地：未知,"
点赞",,2022-05-30IP属地：未知,IP属地：未知,"
点赞",
_WeCh****68514,5分 超棒,谢谢叶子小姐姐 讲解的特别详细 懂得超级多 大熊猫好可爱,2022-05-17IP属地：未知,IP属地：未知,"
点赞",,2022-05-17IP属地：未知,IP属地：未知,"
点赞",
认可雪豹,5分 超棒,【趣味】可以！ 【性价比】太好了！ 【景色】不错不错！,2022-04-24IP属地：未知,IP属地：未知,"
点赞",,2022-04-24IP属地：未知,IP属地：未知,"
点赞",
Fannie……,5分 超棒,熊猫很可爱，还有刚出生没多久的熊猫宝宝，小孩很喜欢,2022-03-15IP属地：未知,IP属地：未知,"
点赞",,2022-03-15IP属地：未知,IP属地：未知,"
点赞",
轻微强迫症。,3分 不错,emm，评价带有主观因素，可能因为我对熊猫不是很感冒，所以觉得没啥好耍的。还遇到景区门口出租车因为我去的地方近，拒载，危险驾驶，我下车后还骂我咯，此次成都之行最不爽的点,2022-07-21IP属地：未知,IP属地：未知,"
点赞",,2022-07-21IP属地：未知,IP属地：未知,"
点赞",
轻微强迫症。,3分 不错,emm，评价带有主观因素，可能因为我对熊猫不是很感冒，所以觉得没啥好耍的。还遇到景区门口出租车因为我去的地方近，拒载，危险驾驶，我下车后还骂我咯，此次成都之行最不爽的点,2022-07-21IP属地：未知,IP属地：未知,"
点赞",,2022-07-21IP属地：未知,IP属地：未知,"
点赞",
aass,5分 超棒,很好玩。,2022-07-12IP属地：未知,IP属地：未知,"
点赞",,2022-07-12IP属地：未知,IP属地：未知,"
点赞",
Ninnng—,5分 超棒,大熊猫真的好可爱！来过好多次大熊猫基地了每次来都很开心，能一下见到那么多大熊猫真的爱住了！希望下一次来成都的时候还能来这里看看！,2022-05-29IP属地：未知,IP属地：未知,"
点赞",,2022-05-29IP属地：未知,IP属地：未知,"
点赞",
尼普顿,5分 超棒,基地规模大，景色宜人，熊猫憨态可掬，让人心情愉悦,2022-05-26IP属地：未知,IP属地：未知,"
点赞",,2022-05-26IP属地：未知,IP属地：未知,"
点赞",
大宝宝儿的爱旅行家,5分 超棒,当地人都管熊猫叫滚滚，看熊猫叫看滚滚，太形象了。,2022-05-22IP属地：未知,IP属地：未知,"
点赞",,2022-05-22IP属地：未知,IP属地：未知,"
点赞",
贰黑哥,5分 超棒,国宝大熊猫繁育基地在成都，这里适合大熊猫的生长。,2022-05-13IP属地：未知,IP属地：未知,"
点赞",,2022-05-13IP属地：未知,IP属地：未知,"
点赞",
哈密瓜哈哈哈,5分 超棒,环境安逸，空气好非常适合周末去玩，里面很大可以逗逗熊猫还有小熊猫，可以看到熊猫的产生过程，整个熊猫基地非常大，还有会爬树的小熊猫,2022-04-15IP属地：未知,IP属地：未知,"
点赞",,2022-04-15IP属地：未知,IP属地：未知,"
点赞",
水云间3399,5分 超棒,环境清幽，气候宜人，是大熊猫生长繁育的最佳场所。,2022-04-13IP属地：未知,IP属地：未知,"
点赞",,2022-04-13IP属地：未知,IP属地：未知,"
点赞",
默希默希,5分 超棒,这个世界上有比大熊猫更可爱的动物吗？当然没有！！,2022-04-04IP属地：未知,IP属地：未知,"
点赞",,2022-04-04IP属地：未知,IP属地：未知,"
点赞",
m50****899,3分 不错,上午10点到的，大熊猫太热都没出来，听说后面给加了冰块，还能看到，反正大家及早8点多应该能看到。 里面的观光车，不推荐坐，排队时间长，而且景区不大，完全不累的，没有必要,2022-07-12IP属地：未知,IP属地：未知,"
点赞",,2022-07-12IP属地：未知,IP属地：未知,"
点赞",
何渝,5分 超棒,【景色】优美 【趣味】好玩好玩 【性价比】值得一游,2022-05-27IP属地：未知,IP属地：未知,"
点赞",,2022-05-27IP属地：未知,IP属地：未知,"
点赞",
大冬天里的汤咖喱,5分 超棒,熊猫可能是这世界上最可爱的动物了，真的值得一去,2022-05-24IP属地：未知,IP属地：未知,"
点赞",,2022-05-24IP属地：未知,IP属地：未知,"
点赞",
M20****694,5分 超棒,看见小熊猫了 特别欣喜 节日人有点多 早去早去早去～,2022-05-13IP属地：未知,IP属地：未知,"
点赞",,2022-05-13IP属地：未知,IP属地：未知,"
点赞",
小可可爱6,5分 超棒,大熊猫繁育研究基地位于四川省成都市，还不错的哟,2022-03-18IP属地：未知,IP属地：未知,"
点赞",,2022-03-18IP属地：未知,IP属地：未知,"
点赞",
Tele177,5分 超棒,和对象一起去的，看着大熊猫很高兴，憨憨的很可爱,2022-03-13IP属地：未知,IP属地：未知,"
点赞",,2022-03-13IP属地：未知,IP属地：未知,"
点赞",
咕一咕咕咕,5分 超棒,一定要上午去，一定要上午，千万不要中午去，大熊猫睡午觉，一动都不动的，还好遇到一只一直在吃东西的，要不然就很失望，那只吃东西的吃了半个小时，我看了半个小时，他好能吃啊,2020-09-28IP属地：未知,IP属地：未知,"
32",,2020-09-28IP属地：未知,IP属地：未知,"
32",
wal****oo,5分 超棒,适合带孩子一块玩，可能对成年人来说不是太好玩,2022-05-17IP属地：未知,IP属地：未知,"
点赞",,2022-05-17IP属地：未知,IP属地：未知,"
点赞",
206****583,5分 超棒,非常不错，小孩最喜欢进去玩了，有机会再去一遍,2022-05-13IP属地：未知,IP属地：未知,"
点赞",,2022-05-13IP属地：未知,IP属地：未知,"
点赞",
郭∽郭,5分 超棒,看国宝大熊猫的最佳地是成都大熊猫繁育研究基地,2022-04-24IP属地：未知,IP属地：未知,"
点赞",,2022-04-24IP属地：未知,IP属地：未知,"
点赞",
小洗洗嘻嘻,5分 超棒,【景色】非常好 【趣味】非常好 【性价比】非常好,2022-03-25IP属地：未知,IP属地：未知,"
点赞",,2022-03-25IP属地：未知,IP属地：未知,"
点赞",
mamabaobao2010,5分 超棒,大熊猫繁育研究基地位于四川省成都市，赞一个哟,2022-03-17IP属地：未知,IP属地：未知,"
点赞",,2022-03-17IP属地：未知,IP属地：未知,"
点赞",
_WeCh****174298,3分 不错,天太热，看不到几只熊猫，新区无遮挡，太热了,2022-08-22IP属地：广东,IP属地：广东,"
点赞",,2022-08-22IP属地：广东,IP属地：广东,"
点赞",
悠塒风逸,3分 不错,熊猫很可爱，但是不建议夏天去看没有几只能看见的，也不活跃，天气也热，需要走很远的路，商业门面基本没有几家，主要是有家店给我们年轻人一个价，中年人一个价，很隔应人。,2022-06-26IP属地：未知,IP属地：未知,"
点赞",,2022-06-26IP属地：未知,IP属地：未知,"
点赞",
兜兜的小螺号,5分 超棒,适合亲子的去处，可爱的熊猫，勾起成人的童真,2022-05-26IP属地：未知,IP属地：未知,"
点赞",,2022-05-26IP属地：未知,IP属地：未知,"
点赞",
远方的想念,5分 超棒,全方位无死角的干净，性价比超级高，值得推荐,2022-05-25IP属地：未知,IP属地：未知,"
点赞",,2022-05-25IP属地：未知,IP属地：未知,"
点赞",
神猴大将军,5分 超棒,来了成都，一定要来看大熊猫，每天人都非常多,2022-05-21IP属地：未知,IP属地：未知,"
点赞",,2022-05-21IP属地：未知,IP属地：未知,"
点赞",
M26****0096,5分 超棒,景色不错，就是人太多太多了。另外，自驾去不好停车，停在很远的地方，拉去免费，回去就要收费，简直醉了。不过熊猫还是挺可爱的。,2022-05-11IP属地：未知,IP属地：未知,"
点赞",,2022-05-11IP属地：未知,IP属地：未知,"
点赞",
浪里个浪榨菜,5分 超棒,看滚滚吃饭我能看一天，真的是萌翻了，已经是第二次来了，依然乐此不疲，超开心。 携程买票够直接刷身份证就好了，秒交秒到，赞一个,2022-04-17IP属地：未知,IP属地：未知,"
点赞",,2022-04-17IP属地：未知,IP属地：未知,"
点赞",
南南北北929,5分 超棒,到成都旅行必打卡的地方，憨态可掬的大熊猫。,2022-04-10IP属地：未知,IP属地：未知,"
点赞",,2022-04-10IP属地：未知,IP属地：未知,"
点赞",
liqing001gg,5分 超棒,【景色】 【趣味】 【性价比】都是特别棒的体验,2022-03-28IP属地：未知,IP属地：未知,"
点赞",,2022-03-28IP属地：未知,IP属地：未知,"
点赞",
松1314,5分 超棒,国宝贡献真心不错👍👍👍，可以去看看,2022-05-30IP属地：未知,IP属地：未知,"
点赞",,2022-05-30IP属地：未知,IP属地：未知,"
点赞",
_WeCh****556523,5分 超棒,里面有大熊猫，小熊猫，还有天鹅和各种鸟类,2022-05-17IP属地：未知,IP属地：未知,"
点赞",,2022-05-17IP属地：未知,IP属地：未知,"
点赞",
可爱的小仙仙女,5分 超棒,可以观赏到大熊猫和小熊猫，孩子们很喜欢。,2022-05-13IP属地：未知,IP属地：未知,"
点赞",,2022-05-13IP属地：未知,IP属地：未知,"
点赞",
^_^小妞,5分 超棒,成都大熊猫繁育研究基地。成都最好玩的地方,2022-04-29IP属地：未知,IP属地：未知,"
点赞",,2022-04-29IP属地：未知,IP属地：未知,"
点赞",
哈哈乐8,5分 超棒,成都大熊猫繁育研究基地真的是很不错的哦！,2022-04-25IP属地：未知,IP属地：未知,"
点赞",,2022-04-25IP属地：未知,IP属地：未知,"
点赞",
M32****3704,5分 超棒,整体不错，价格也很不错，让人心情非常好！,2022-04-03IP属地：未知,IP属地：未知,"
点赞",,2022-04-03IP属地：未知,IP属地：未知,"
点赞",
288****608,5分 超棒,强烈推荐，来成都必看大熊猫，就像去北京要看故宫和***门一样的，成都旅游的交通真是太棒了，地铁坐到熊猫大道车站，出口就有到景区的大巴车，2元一位良心价，景区网上购票后直接刷身份证入园，进园就是游客中心，寄存行李特别方便，成都基本上每个景点都有这个功能，特别贴心，进园做景区电动车10元一位，直接到熊猫月亮产房，从上往下观赏熊猫 沿途景区镜收眼底。,2021-09-30IP属地：未知,IP属地：未知,"
4",,2021-09-30IP属地：未知,IP属地：未知,"
4",
Joanna舒舒,5分 超棒,"整个园区很大，一定要避难节假日去，人真的太多，熊猫看不到，全看人头了，所以一定要在人少的时候去！
    坐地铁不能直接到，还有个免费的熊猫bus排队可以坐，2元一人，也可以直接打车过去很方便，千万别开车，不好停车",2021-04-26IP属地：未知,IP属地：未知,"
31",,2021-04-26IP属地：未知,IP属地：未知,"
31",
红糖泡泡,5分 超棒,大熊猫是 中国 的国宝，更是面临濒危的珍贵稀有动物。 成都 是大熊猫资源最为丰富的城市，来到这里，没有理由不去参观 “大熊猫繁育研究基地” 。因为 四川 是大熊猫生活了几百万年的故乡，也是迄今为止大熊猫分布最为集中的地方。相信每个来 成都 旅游的人，都不会错过这个可以与国宝亲密接触的机会。,2020-11-05IP属地：未知,IP属地：未知,"
6",,2020-11-05IP属地：未知,IP属地：未知,"
6",
兔子跳跳,5分 超棒,大熊猫很可爱，萌萌哒，孩子们都特别喜欢,2022-05-28IP属地：未知,IP属地：未知,"
点赞",,2022-05-28IP属地：未知,IP属地：未知,"
点赞",
暝逝,5分 超棒,大熊猫还是很萌的，动作慢吞吞，能吃就吃,2022-05-25IP属地：未知,IP属地：未知,"
点赞",,2022-05-25IP属地：未知,IP属地：未知,"
点赞",
MICO二先生,5分 超棒,【景色】不错 【趣味】不错 【性价比】不错,2022-05-24IP属地：未知,IP属地：未知,"
点赞",,2022-05-24IP属地：未知,IP属地：未知,"
点赞",
亦寻常,5分 超棒,熊猫基地的熊猫多，尤其是熊猫宝宝很可爱和搞笑🤪111111111111111111111 11111111 111111,2022-05-15IP属地：未知,IP属地：未知,"
点赞",,2022-05-15IP属地：未知,IP属地：未知,"
点赞",
sxy040627,5分 超棒,几年前去成都时去过，人太多了，要排队！,2022-05-11IP属地：未知,IP属地：未知,"
点赞",,2022-05-11IP属地：未知,IP属地：未知,"
点赞",
思利及人造福社会,5分 超棒,【景色】熊猫天地好美 【趣味】萌萌的熊猫,2022-05-07IP属地：未知,IP属地：未知,"
点赞",,2022-05-07IP属地：未知,IP属地：未知,"
点赞",
wade,5分 超棒,【景色】可以 【趣味】可以 【性价比】可以,2022-04-27IP属地：未知,IP属地：未知,"
点赞",,2022-04-27IP属地：未知,IP属地：未知,"
点赞",
_WeCh****65764,5分 超棒,大熊猫真的很可爱，憨态可掬，快来看看吧,2022-04-27IP属地：未知,IP属地：未知,"
点赞",,2022-04-27IP属地：未知,IP属地：未知,"
点赞",
Dimples107,5分 超棒,值得一去的地方，有好多好多熊猫，国宝。,2022-03-31IP属地：未知,IP属地：未知,"
点赞",,2022-03-31IP属地：未知,IP属地：未知,"
点赞",
Leo爱旅行,5分 超棒,在这里参观过，小大熊猫看上去好萌的呢！,2022-03-26IP属地：未知,IP属地：未知,"
点赞",,2022-03-26IP属地：未知,IP属地：未知,"
点赞",
lihui,5分 超棒,成都很不错的一个景点，下次还会再去。,2022-05-26IP属地：未知,IP属地：未知,"
点赞",,2022-05-26IP属地：未知,IP属地：未知,"
点赞",
M22****8634,5分 超棒,去成都市旅游必须要去的地方，人很多！,2022-05-13IP属地：未知,IP属地：未知,"
点赞",,2022-05-13IP属地：未知,IP属地：未知,"
点赞",
喜欢月亮吗Z,5分 超棒,熊猫真的太可爱了，这地方也太好玩了。,2022-05-10IP属地：未知,IP属地：未知,"
点赞",,2022-05-10IP属地：未知,IP属地：未知,"
点赞",
持之以恒久,5分 超棒,孩子很喜欢的地方，自然与生活相结合。,2022-03-24IP属地：未知,IP属地：未知,"
点赞",,2022-03-24IP属地：未知,IP属地：未知,"
点赞",
cici9090,5分 超棒,大熊猫幼仔实在太可爱可爱，超级萌萌哒,2022-03-17IP属地：未知,IP属地：未知,"
点赞",,2022-03-17IP属地：未知,IP属地：未知,"
点赞",
银河梦语,4分 满意,夏天熊猫都待在空调房内，只能隔着玻璃观看，建议天凉了再去，熊猫就会出来活动,2022-07-13IP属地：未知,IP属地：未知,"
点赞",,2022-07-13IP属地：未知,IP属地：未知,"
点赞",
D73****33,5分 超棒,这个地方还是不错的，值得推荐大家去,2022-05-23IP属地：未知,IP属地：未知,"
点赞",,2022-05-23IP属地：未知,IP属地：未知,"
点赞",
蓝天上一朵云,5分 超棒,去成都一定要去的地方，大熊猫很可爱,2022-05-14IP属地：未知,IP属地：未知,"
点赞",,2022-05-14IP属地：未知,IP属地：未知,"
点赞",
kuaileshifu888,5分 超棒,这里是熊猫文化的基地，看了还想再看,2022-05-14IP属地：未知,IP属地：未知,"
点赞",,2022-05-14IP属地：未知,IP属地：未知,"
点赞",
袍哥人家绝不拉稀摆带,5分 超棒,非常巴适的地方喔 非常不错哈哈哈哈哈,2022-05-10IP属地：未知,IP属地：未知,"
点赞",,2022-05-10IP属地：未知,IP属地：未知,"
点赞",
118****338,5分 超棒,这是个很有意思的旅游胜地，人人皆可,2022-04-30IP属地：未知,IP属地：未知,"
点赞",,2022-04-30IP属地：未知,IP属地：未知,"
点赞",
Huhu0024,5分 超棒,不错不错，看到了很多可爱的小熊猫。,2022-04-23IP属地：未知,IP属地：未知,"
点赞",,2022-04-23IP属地：未知,IP属地：未知,"
点赞",
人渔,5分 超棒,这个地方是国宝大熊猫的家园，很多人,2022-04-19IP属地：未知,IP属地：未知,"
点赞",,2022-04-19IP属地：未知,IP属地：未知,"
点赞",
clément 12,5分 超棒,来成都必去的地方，与熊猫亲密接触？,2022-03-20IP属地：未知,IP属地：未知,"
点赞",,2022-03-20IP属地：未知,IP属地：未知,"
点赞",
graceyee,5分 超棒,圆滚滚，毛茸茸，一堆毛团子滚在一起,2022-03-09IP属地：未知,IP属地：未知,"
点赞",,2022-03-09IP属地：未知,IP属地：未知,"
点赞",
Michael hck,5分 超棒,国宝大熊猫，蚩尤的坐骑，太可爱了！,2022-03-09IP属地：未知,IP属地：未知,"
点赞",,2022-03-09IP属地：未知,IP属地：未知,"
点赞",
M36****937,4分 满意,热，晒。里面很大，我都迷路了，路牌看不懂。问了几圈，还是在一个地方打圈。,2022-07-13IP属地：未知,IP属地：未知,"
点赞",,2022-07-13IP属地：未知,IP属地：未知,"
点赞",
300****126,5分 超棒,成都大熊猫基地去的那一天正好下雨,2022-05-30IP属地：未知,IP属地：未知,"
点赞",,2022-05-30IP属地：未知,IP属地：未知,"
点赞",
三穆里尼奥三,5分 超棒,确实非常值得一去，确实非常好玩。,2022-05-09IP属地：未知,IP属地：未知,"
点赞",,2022-05-09IP属地：未知,IP属地：未知,"
点赞",
奔跑的刷子,5分 超棒,来成都必去的地方，看熊猫的好地方,2022-04-27IP属地：未知,IP属地：未知,"
点赞",,2022-04-27IP属地：未知,IP属地：未知,"
点赞",
Ochean,5分 超棒,interesting place,2022-04-25IP属地：未知,IP属地：未知,"
点赞",,2022-04-25IP属地：未知,IP属地：未知,"
点赞",
宏村苻坚,5分 超棒,不错的地方，里面有很多小熊猫宝宝,2022-04-21IP属地：未知,IP属地：未知,"
点赞",,2022-04-21IP属地：未知,IP属地：未知,"
点赞",
走走好吗,5分 超棒,非常不错，特别适合带小朋友去看看,2022-04-20IP属地：未知,IP属地：未知,"
点赞",,2022-04-20IP属地：未知,IP属地：未知,"
点赞",
啊哦 123,5分 超棒,去的时候其实熊猫总的不多，数来数去也就20来只，听导游说这里熊猫多的时候能看到100只左右，遗憾呀。 熊猫果然很萌,2022-03-20IP属地：未知,IP属地：未知,"
点赞",,2022-03-20IP属地：未知,IP属地：未知,"
点赞",
men123456,5分 超棒,超喜欢大熊猫🐼憨态可掬 可凶可萌,2022-03-16IP属地：未知,IP属地：未知,"
点赞",,2022-03-16IP属地：未知,IP属地：未知,"
点赞",
杨乐多,5分 超棒,自然精灵，人间真爱，助力恢复。,2022-05-28IP属地：未知,IP属地：未知,"
点赞",,2022-05-28IP属地：未知,IP属地：未知,"
点赞",
leboyme,5分 超棒,必须去看看，真的是个好地方呀。,2022-05-25IP属地：未知,IP属地：未知,"
点赞",,2022-05-25IP属地：未知,IP属地：未知,"
点赞",
M22****6223,5分 超棒,交通便利，四通八达，价格还行。,2022-05-19IP属地：未知,IP属地：未知,"
点赞",,2022-05-19IP属地：未知,IP属地：未知,"
点赞",
190****318,5分 超棒,交通便利，四通八达，价格合适。,2022-05-10IP属地：未知,IP属地：未知,"
点赞",,2022-05-10IP属地：未知,IP属地：未知,"
点赞",
袍哥人家绝不拉稀摆带,5分 超棒,不错不错不错，非常不错的地方的,2022-05-07IP属地：未知,IP属地：未知,"
点赞",,2022-05-07IP属地：未知,IP属地：未知,"
点赞",
Angel KO,5分 超棒,熊猫宝宝太可爱了吧！太可爱了吧,2022-05-02IP属地：未知,IP属地：未知,"
点赞",,2022-05-02IP属地：未知,IP属地：未知,"
点赞",
abcjohnny,5分 超棒,西南地区的熊猫基地，适合带娃！,2022-04-30IP属地：未知,IP属地：未知,"
点赞",,2022-04-30IP属地：未知,IP属地：未知,"
点赞",
暴走吧情天,5分 超棒,大熊猫太可爱了，而且很多很多！,2022-04-21IP属地：未知,IP属地：未知,"
点赞",,2022-04-21IP属地：未知,IP属地：未知,"
点赞",
