 字段 1 , 字段 2 , 字段 3 , 字段 4 , 字段 5 , 字段 6 , 字段 7 , 字段 8 , 字段 9 , 字段 10 , 字段 11 
 湖北 老庄 , 5 分   超棒 , 景区 很大 ， 熊猫 别墅 一个 挨着 一个 ， 不太 建议 年轻人 乘坐 景区 车辆 ， 老人 最好 乘坐 ， 因为 很多 地方 都 是 上 下坡 ， 天气 不好 的 时候 会 路面 潮湿 ， 容易 滑倒 。 到处 都 是 熊猫 ， 所以 大伙 一定 要 仔细观察 路牌 和 景区 地图 ， 别错过 啦 ， 景区 内 的 玩具 和 纪念品 很 精美 ， 不要 买进 景区 路边 的 伪劣商品 ， 景区 内 的 也 不怎么 贵 。 , 2022 - 07 - 13IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 13IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 Y 安然 自若 M , 4 分   满意 , 抱 着 看 熊猫 的 态度 去 了 只能 是 失望 。 7 ： 30 开园 ， 观光车 8 ： 30 才 有 ， 走 的 累 呼呼 的 ， 也 没 看到 几只 熊猫 。 月亮 馆里 的 小崽子 隔 着 玻璃 ， 躺 在 育儿 箱里 ， 没 啥 看头 ， 未成年 小熊猫 全都 趴着睡 觉 。 要不是 2 号 公寓 有 三只 户外活动 的 ， 那 就 实在 太 亏了 。   特别 提醒 ： 一定 要 从 基地 南门 进 ， 南门 是 老区 ， 主要 场馆 都 在 南区 ！ ！ ！ , 2022 - 07 - 10IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 10IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 139 * * * * 9653 , 5 分   超棒 , * * * , 2022 - 07 - 10IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 10IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 qiqi1980d , 3 分   不错 , 因为 自己 功课 不 到位 去 了 西区 入园 ， 七点 半到 ， 八点半 西区 才 有车 出发 ， 白白浪费 一 小时 的 时间 和 体力 。 月亮 产房 人山人海 ， 不是 人手 一只 熊猫 ， 而是 到处 都 是 人头 。 熊猫 怕热 ， 确实 都 在 睡觉 ， 虽然 那 时候 只 不到 九点 。 太阳 产房 居然 是 电视 介绍 ， 没有 熊猫 ； 吭哧 走 到 一号 别墅 ， 工作人员 告诉 我们 关门 了 ， 那 为什么 不 在 外围 提示 一下 呢 ， 我们 走 的 很 辛苦 好 么 ？ 这点 差评 。 包括 小熊猫 的 几个 点 都 关闭 的 ， 但是 都 是 到 跟前 了 才 看到 关门 ， 建议 提前 在 入园 处 提示 ， 避免 我们 走 冤枉路 ， 里面 太大 了 好 么 。 , 2022 - 07 - 09IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 09IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 玫瑰 夫人 红火 火 , 5 分   超棒 , 方便快捷 ， 人 比较 少 ， 早上 很 幸运 看到 大熊猫 , 2022 - 06 - 14IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 06 - 14IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 sAviOr _ 07 , 4 分   满意 , " 来 成都 看 大熊猫 ～ 开森 ～ 去 的 路上 携程 买 了 门票 ， 很 方便 ～ 
           都 说 要 一早 来 ， 晚 了 的话 熊猫 都 到 房间 里 了 ， 上午 9 点多 到达 的 ， 里面 乘车 打 排队 ， 于是 就 自己 走路 了 。 熊猫 非常 可爱 ， 大约 看到 10 几只 在 外面 活动 的 小可爱 ， 据说 再 早点 来 还 能 看到 更 多 。 年纪 越小越 皮 的 熊猫 好动 ， 打打闹闹 ， 萌态 可掬 ， 还有 吃 竹子 速度 超 酷爱 的 ， 也 是 吃货 一 族 。 还 看到 一只 熊猫 过生日 。 目前 是 没有 熊猫 宝宝 出生 的 ， 所以 月亮 产 房里 没有 熊猫 宝宝 。 
               除了 熊猫 还有 小熊猫 ， 不是 熊猫 宝宝 的 ， 红色 的 那个 小熊猫 ， 也 很 可爱 。 听到 旁边 一个 妈妈 对 小孩 说 这个 是 小 浣熊 ...... 没 文化 真 可怕 ..... " , 2021 - 06 - 23IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 124 " ,  , 2021 - 06 - 23IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 124 " ,  
 MICO 二 先生 , 5 分   超棒 , 【 景色 】 不错   【 趣味 】 可以   【 性价比 】 很 高 , 2022 - 08 - 25IP 属地 ： 山东 , IP 属地 ： 山东 , "  
 点赞 " ,  , 2022 - 08 - 25IP 属地 ： 山东 , IP 属地 ： 山东 , "  
 点赞 " ,  
 FireKEN , 5 分   超棒 , 带 孩子 看 熊猫 ， 很 好玩 ， 熊猫 憨憨的 很 可爱 , 2022 - 08 - 11IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 11IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 118 * * * * 338 , 5 分   超棒 , 成都 大熊猫 繁育 研究 基地 ， 熊猫 宝宝 的 乐园 , 2022 - 08 - 02IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 02IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 周 某某 , 5 分   超棒 , 成都 的 疫情 ， 让 大熊猫 都 进入 了 静默 期 。 , 2022 - 09 - 07IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 09 - 07IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 蛇 牛 , 5 分   超棒 , 有趣 好玩 ， 国宝 熊猫 就是 可爱 ， 值得 一去 , 2022 - 09 - 06IP 属地 ： 广东 , IP 属地 ： 广东 , "  
 点赞 " ,  , 2022 - 09 - 06IP 属地 ： 广东 , IP 属地 ： 广东 , "  
 点赞 " ,  
 帅气 的 超 哥哥 g , 5 分   超棒 , 这个 基地 中 的 大熊猫 幼崽 实在 是 太萌 啦 ！ , 2022 - 09 - 01IP 属地 ： 上海 , IP 属地 ： 上海 , "  
 点赞 " ,  , 2022 - 09 - 01IP 属地 ： 上海 , IP 属地 ： 上海 , "  
 点赞 " ,  
 jelloss , 5 分   超棒 , 非常 不错 的 地方 啊 ， 非常 不错 的 地方 啊 。 , 2022 - 08 - 26IP 属地 ： 上海 , IP 属地 ： 上海 , "  
 点赞 " ,  , 2022 - 08 - 26IP 属地 ： 上海 , IP 属地 ： 上海 , "  
 点赞 " ,  
 leboyme , 5 分   超棒 , 来到 成都 必须 去 看 的 地方 ， 真的 很 不错 的 , 2022 - 08 - 25IP 属地 ： 北京 , IP 属地 ： 北京 , "  
 点赞 " ,  , 2022 - 08 - 25IP 属地 ： 北京 , IP 属地 ： 北京 , "  
 点赞 " ,  
 Wendy   Kan , 5 分   超棒 , 建议 春秋季 去 ， 夏天 太热 ， 热到 怀疑 人生 , 2022 - 08 - 22IP 属地 ： 陕西 , IP 属地 ： 陕西 , "  
 点赞 " ,  , 2022 - 08 - 22IP 属地 ： 陕西 , IP 属地 ： 陕西 , "  
 点赞 " ,  
 美在 瞬间 123 , 5 分   超棒 , 值得一看 的 地方 ， 环境 不错 ， 好好 好好 。 , 2022 - 08 - 22IP 属地 ： 江苏 , IP 属地 ： 江苏 , "  
 点赞 " ,  , 2022 - 08 - 22IP 属地 ： 江苏 , IP 属地 ： 江苏 , "  
 点赞 " ,  
 152 * * * * 6840 , 5 分   超棒 , 那里 的 国宝 太 可爱 啦 ， 去 了 还 想 去 的 地方 , 2022 - 08 - 20IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 20IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 M22 * * * * 8634 , 5 分   超棒 , 去 成都 必须 要 去 的 地方 小熊猫 太 可爱 了 ！ , 2022 - 08 - 15IP 属地 ： 江苏 , IP 属地 ： 江苏 , "  
 点赞 " ,  , 2022 - 08 - 15IP 属地 ： 江苏 , IP 属地 ： 江苏 , "  
 点赞 " ,  
 LOmania , 5 分   超棒 , 要 早上 去 呢 ！ 下午 熊貓 全睡 覺 ！ 白跑 了 ！ , 2022 - 08 - 07IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 07IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 118 * * * * 188 , 5 分   超棒 , 成都 大熊猫 繁育 研究 基地 是 值得 大家 去 的 地方 ， 孩子 的 最 爱 ， 熊猫 呆萌 可爱 ， 有 很多 熊猫 ， 形态各异 。 我们 全家 已经 去过 两次 了 ， 可 还是 希望 有 机会 再 去 。 , 2022 - 04 - 24IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  , 2022 - 04 - 24IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  
 yytravel , 5 分   超棒 , 环境优美 ， 大熊猫 、 小熊猫 ， 总是 睡觉 , 2022 - 09 - 07IP 属地 ： 广东 , IP 属地 ： 广东 , "  
 点赞 " ,  , 2022 - 09 - 07IP 属地 ： 广东 , IP 属地 ： 广东 , "  
 点赞 " ,  
 刘学珠 📈 , 5 分   超棒 , 棒棒 哒 支持 ， 棒棒 哒 推荐 。 值得 一去 。 , 2022 - 08 - 08IP 属地 ： 湖南 , IP 属地 ： 湖南 , "  
 点赞 " ,  , 2022 - 08 - 08IP 属地 ： 湖南 , IP 属地 ： 湖南 , "  
 点赞 " ,  
 果果 妹妹 2010 , 5 分   超棒 , 到 成都 必须 去 的 一个 景点 ， 性价比 高 。 , 2022 - 08 - 06IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 06IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 白 久久 久久 , 5 分   超棒 , 现在 去 没什么 人 ， 熊猫 也 很多 ！ 环境 很 不错   绿化 很多 ， 空气 非常 新鲜 ， 就是 有点 可惜 没有 看到 在 爬 的 小熊猫 宝宝 ！ 但是 看到 了 小熊猫 打架 也 挺 有意思 的 ！ , 2022 - 03 - 29IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  , 2022 - 03 - 29IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  
 猪脸 蝙蝠 , 5 分   超棒 , 成都 的 大熊猫 ， 全国 孩子 们 的 快乐 。 , 2022 - 09 - 06IP 属地 ： 辽宁 , IP 属地 ： 辽宁 , "  
 点赞 " ,  , 2022 - 09 - 06IP 属地 ： 辽宁 , IP 属地 ： 辽宁 , "  
 点赞 " ,  
 feimanfei , 5 分   超棒 , 非常 不错 的 的 旅游胜地   大熊猫 很多 哦 , 2022 - 08 - 31IP 属地 ： 重庆 , IP 属地 ： 重庆 , "  
 点赞 " ,  , 2022 - 08 - 31IP 属地 ： 重庆 , IP 属地 ： 重庆 , "  
 点赞 " ,  
 lihui , 5 分   超棒 , 非常 不错 的 景点 ， 下次 还会 再 来 的 。 , 2022 - 08 - 31IP 属地 ： 重庆 , IP 属地 ： 重庆 , "  
 点赞 " ,  , 2022 - 08 - 31IP 属地 ： 重庆 , IP 属地 ： 重庆 , "  
 点赞 " ,  
 linglingtong , 5 分   超棒 , 刚出生 的 熊猫 宝宝 和 小老鼠 差不多 ！ , 2022 - 08 - 30IP 属地 ： 浙江 , IP 属地 ： 浙江 , "  
 点赞 " ,  , 2022 - 08 - 30IP 属地 ： 浙江 , IP 属地 ： 浙江 , "  
 点赞 " ,  
 超人 归来 , 5 分   超棒 , 进去 看看 ， 和 国宝 近距离 接触 ， 真 好 , 2022 - 08 - 26IP 属地 ： 上海 , IP 属地 ： 上海 , "  
 点赞 " ,  , 2022 - 08 - 26IP 属地 ： 上海 , IP 属地 ： 上海 , "  
 点赞 " ,  
 果果 妹妹 2010 , 5 分   超棒 , 成都 值得 一去 的 地方 ， 性价比 不错 。 , 2022 - 08 - 23IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 23IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 袍哥 人家 绝不 拉稀 摆带 , 5 分   超棒 , 毛茸茸 的 大熊猫 ， 超级 可爱 噢 哈哈哈 , 2022 - 08 - 23IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 23IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 _ CFT01 * * * * 0084515 , 5 分   超棒 , 月亮 产房 看到 了 小可爱 们 ， 超级 萌 ， 疫情 防控 有 一些 地方 没 开 ， 新区 和 旧区 的 观光 车票 需要 分开 买 ， 新区 很大 ， 目前 也 还 没 完善 , 2022 - 08 - 18IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 18IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 sxy040627 , 5 分   超棒 , 这 里面 很大 ， 人 很多 ， 大熊猫 挺 可爱 , 2022 - 08 - 13IP 属地 ： 江苏 , IP 属地 ： 江苏 , "  
 点赞 " ,  , 2022 - 08 - 13IP 属地 ： 江苏 , IP 属地 ： 江苏 , "  
 点赞 " ,  
 暴走 吧 情天 , 5 分   超棒 , 大熊猫 真的 太 可爱 了 ， 国宝 实至名归 , 2022 - 08 - 09IP 属地 ： 湖北 , IP 属地 ： 湖北 , "  
 点赞 " ,  , 2022 - 08 - 09IP 属地 ： 湖北 , IP 属地 ： 湖北 , "  
 点赞 " ,  
 Rosemond _ is _ here , 5 分   超棒 , 熊猫 真的 好 可爱 ， 游客 也 是 真的 多 。 , 2022 - 08 - 08IP 属地 ： 上海 , IP 属地 ： 上海 , "  
 点赞 " ,  , 2022 - 08 - 08IP 属地 ： 上海 , IP 属地 ： 上海 , "  
 点赞 " ,  
  Ambition 〆 , 5 分   超棒 , 国宝 就是 不 一样 、 好吃懒做 的 、 哈哈 , 2022 - 08 - 08IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 08IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 波股 通金 , 5 分   超棒 , 好 ， 不错 ， 不错 ， 人 很多 ， 很 ， 热闹 , 2022 - 07 - 12IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 12IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 _ WB1 * * * * 818 , 5 分   超棒 , 几个 人 一起 的话 可以 打车 去 ， 很 方便 , 2022 - 07 - 06IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 06IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 存在 于 传说 中 的 男人 , 5 分   超棒 , 熊猫 真的 很 可爱 ， 但是 建议 9 到 11 月 来 ， 这个 季节 熊猫 是 不产 仔仔 的 ， 所以 看不到 一 丢 丢 的 小熊猫 也 是 比较 可惜 ， 不过 整体 的 还是 挺值 的 的 ， 现在 分新 老 园区 ， 老 的 更好 看 , 2022 - 03 - 26IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 03 - 26IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 _ WeCh * * * * 400011 , 5 分   超棒 , 环境 非常 好   推荐 来 游玩   景区 里 有 观光车   十分 方便   地铁 直通车 到 园区 ， 大人 小朋友 都 可以 来 玩 ， 里面 还有 小熊猫   各式各样 的 竹子 , 2022 - 09 - 12IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 09 - 12IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 马 各 它 , 5 分   超棒 , 话 说 熊猫 基地 二期 还是 很 值得 去 叻 , 2022 - 09 - 09IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 09 - 09IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 George   Huang1985 , 5 分   超棒 , 很 有 特色 的 地方 ， 带 小朋友 很 合适 , 2022 - 09 - 07IP 属地 ： 江苏 , IP 属地 ： 江苏 , "  
 点赞 " ,  , 2022 - 09 - 07IP 属地 ： 江苏 , IP 属地 ： 江苏 , "  
 点赞 " ,  
 松 1314 , 5 分   超棒 , 动物 特别 多 ， 很 是 可爱 的 熊猫 🐼 , 2022 - 08 - 31IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 31IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 txdy118 , 5 分   超棒 , 好好 好 ， 非常 不错 ， 小朋友 可以 去 , 2022 - 08 - 30IP 属地 ： 上海 , IP 属地 ： 上海 , "  
 点赞 " ,  , 2022 - 08 - 30IP 属地 ： 上海 , IP 属地 ： 上海 , "  
 点赞 " ,  
 乌昂 工一 , 5 分   超棒 , 圆滚滚 生活 的 很 好 ， 勿念 勿念 。 。 , 2022 - 08 - 28IP 属地 ： 天津 , IP 属地 ： 天津 , "  
 点赞 " ,  , 2022 - 08 - 28IP 属地 ： 天津 , IP 属地 ： 天津 , "  
 点赞 " ,  
 田心 cc , 5 分   超棒 , 一定 要 去 的 地方 啦     大熊猫 太 可爱 了 , 2022 - 08 - 27IP 属地 ： 江苏 , IP 属地 ： 江苏 , "  
 点赞 " ,  , 2022 - 08 - 27IP 属地 ： 江苏 , IP 属地 ： 江苏 , "  
 点赞 " ,  
 爱将 儿 , 5 分   超棒 , 【 景色 】   【 趣味 】   【 性价比 】 不错 , 2022 - 08 - 21IP 属地 ： 内蒙古 , IP 属地 ： 内蒙古 , "  
 点赞 " ,  , 2022 - 08 - 21IP 属地 ： 内蒙古 , IP 属地 ： 内蒙古 , "  
 点赞 " ,  
 果果 妹妹 2010 , 5 分   超棒 , 成都 值得 一去 的 景点 ， 值得 一去 。 , 2022 - 08 - 17IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 17IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 猪脸 蝙蝠 , 5 分   超棒 , 小伙伴 有 谁 会 不 喜欢 看 大熊猫 呢 。 , 2022 - 08 - 15IP 属地 ： 辽宁 , IP 属地 ： 辽宁 , "  
 点赞 " ,  , 2022 - 08 - 15IP 属地 ： 辽宁 , IP 属地 ： 辽宁 , "  
 点赞 " ,  
 星辰 大海 zhh , 5 分   超棒 , 旅游 打卡 地 之一 ， 到 成都 必去 点 。 , 2022 - 08 - 12IP 属地 ： 江西 , IP 属地 ： 江西 , "  
 点赞 " ,  , 2022 - 08 - 12IP 属地 ： 江西 , IP 属地 ： 江西 , "  
 点赞 " ,  
 Old   9 , 5 分   超棒 , 成都 著名 的 景点 ， 非常 不错 的 地方 , 2022 - 08 - 03IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 03IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 _ WeCh * * * * 062311 , 5 分   超棒 , 天 有点 热 熊猫 都 在 屋里 乘凉 很少 在 屋外 的 ， 要 去 记得 早点 去 ， 应该 七点 半 就 开门 , 2022 - 07 - 23IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 23IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 ^ _ ^ 小妞 , 5 分   超棒 , 购买 了 成人 票 和 儿童票 ， 十分 方便 刷 身份证 就 可以 直接 入园 ， 不 需要 取 纸质 的 票 。 现在 天气 太热 了 ， 大熊猫 宝宝 都 已经 进 了 空调 房 ， 中午 的 时间 不要 去 ， 因为 她 门 要 睡觉 。 , 2022 - 07 - 18IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 18IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 M35 * * * * 141 , 5 分   超棒 , 大熊猫 超 可爱 ！ 小熊猫 也 萌萌 哒 ！ , 2022 - 06 - 13IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 06 - 13IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 岭 坎 彭于 晏 , 5 分   超棒 , 早上 出门 ， 到 了 熊猫 基地 刚好 看 熊猫 们 吃 竹子 ， 还有 在 树上 睡觉 的 ， 很 可爱 。 下午 下起 了 小雨 ， 有点 不合时宜 ， 朋友 一行 人 就 去 看 了 一场 电影 ， 这个 天气 出游 还是 很 舒服 的 , 2022 - 04 - 29IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 04 - 29IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 袍哥 人家 绝不 拉稀 摆带 , 5 分   超棒 , 黑白相间 大熊猫   好 可爱 啊   哈哈哈 , 2022 - 08 - 30IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 30IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 张 丁丁 丁 , 5 分   超棒 , 【 景色 】   【 趣味 】   【 性价比 】 好 , 2022 - 08 - 03IP 属地 ： 广东 , IP 属地 ： 广东 , "  
 点赞 " ,  , 2022 - 08 - 03IP 属地 ： 广东 , IP 属地 ： 广东 , "  
 点赞 " ,  
 CC103 , 5 分   超棒 , 很 好 ， 大熊猫 很 可爱 ， 值得 一去 , 2022 - 07 - 14IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 14IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 y 瓜皮 l , 5 分   超棒 , 观光车 很 方便 。 新区 风景 很漂亮 , 2022 - 06 - 05IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 06 - 05IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 亲亲 股太乐 , 5 分   超棒 , 大熊猫 繁育 基地 内有 150 只 以上 的 熊猫 ， 有 5 年 以上 的 ， 还有 两个 月 大 的 。 非常 可爱 ， 是 携子 旅游 的 最佳 去处 ！ 记得 大熊猫 博物馆 是 免费 的 哦 ！ , 2022 - 03 - 10IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  , 2022 - 03 - 10IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  
 方家 三 大少爷 , 4 分   满意 , 时隔 四年 后 ， 带 小朋友 来 。 可能 天热 ， 熊猫 都 躲起来 了 ， 人 超级 多 。 太阳 产房 没 看到 ， 好 在 月亮 产房 看 了 下 。 新区 在 今年 1 月份 开业 的 ， 稍微 转 了 下 ， 人 明显 少 很多 。 , 2022 - 07 - 12IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 12IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 盼盼菇 凉 , 5 分   超棒 , 下雨天 也 挺 适合 逛 熊猫 乐园 。 熊猫 也 太 悠哉 啦 ， 比较 可惜 的 是 没 看到 小熊猫 产房 ， 没有 近距离 观察 小熊猫 。 天鹅湖 就 剩 一只 天鹅 啦 ， 环境 很 好 一个 人 散心 也 是 好去处 。 , 2022 - 04 - 14IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 04 - 14IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 M33 * * * * 078 , 5 分   超棒 , 大熊猫 小熊猫 都 很 可爱 ， 因为 天气炎热 务必 早点 到园 ， 早上 7 点 就 排长队 了   住 在 附近 的 宾馆 开车 到 停车场 ， 沿着 停车场 小门 十分钟 就 到 基地 门口 ， 进门 后 再 坐 观光车 , 2022 - 07 - 14IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 14IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 M22 * * * * 4474 , 5 分   超棒 , 大熊猫 实在 太 可爱 了 ， 环境 很 好 ， 感觉 很巴适 ， 不知不觉 时间 过得 很快 ！ , 2022 - 07 - 04IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 04IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 E15 * * * * 02 , 5 分   超棒 , 国宝 很乖 ， 很 可爱 ， 赞赞 赞赞 赞赞 ， 里面 绿植 丰富 ， 很 阴凉 ， 全程 逛 完 三四个 小时 吧 ， 很 不错 ， 欢迎 大家 来 成都 玩 ， 看 可爱 的 大熊猫 ， 哈哈 ！ , 2022 - 05 - 15IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  , 2022 - 05 - 15IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  
 _ M13 * * * * 0791 , 3 分   不错 , 老 园区 仍然 具有 竞争力   园林绿化 非常 好   可惜 熊猫 这个 IP 没有 充分 挖掘   熊猫 别墅 有点 寒酸   园区 电瓶车 服务态度 不佳 。 , 2022 - 08 - 15IP 属地 ： 广东 , IP 属地 ： 广东 , "  
 点赞 " ,  , 2022 - 08 - 15IP 属地 ： 广东 , IP 属地 ： 广东 , "  
 点赞 " ,  
 lafongcn , 5 分   超棒 , 园区 很大 ， 熊猫 很 可爱 。 , 2022 - 08 - 11IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 11IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 M20 * * * * 274 , 5 分   超棒 , 和 娃娃 一起 来看 国宝 ， 呆萌 可爱 。 从 南门 进 景区 ， 坐 游览车 ， 第一站 就 可以 到 月亮 产房 。 后面 说 着 指示 一路 看 国宝 。 , 2022 - 07 - 20IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 20IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 152 * * * * 6840 , 5 分   超棒 , 每天 都 要 去 打卡 的 地方 , 2022 - 08 - 20IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 20IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 M10 * * * * 543 , 5 分   超棒 , 很棒   很 强大 ， 国宝 必看 , 2022 - 07 - 24IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 24IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 巴坦 群岛 道光 , 4 分   满意 , 天气 太热 了 ， 熊猫 都 不 在 户外 ， 趣味性 没有 那么 足 ， 不过 看到 了 大熊猫 ， 小熊猫 ， 小小的 大熊猫 ， 诶 ， 人 真的 好多 , 2022 - 07 - 14IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 14IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 152 * * * * 6840 , 5 分   超棒 , 非常 喜欢 去 的 地方 , 2022 - 08 - 20IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 20IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
